OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
VCS B/2020 Season/Winter Season,2020-11-07,2020-11-16,Vietnam,Vietnam,,Vietnam Championship Series B,1,1
VCS CL/2023 Season/Group Stage,,,Vietnam,Vietnam,Offline,VCSCL,,
VCS/2018 Season/Spring Playoffs,2018-03-30,2018-04-07,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2018 Season/Spring Promotion,2017-12-15,2017-12-17,Vietnam,Vietnam,Online,Vietnam Championship Series,1,1
VCS/2018 Season/Spring Season,2018-01-18,2018-03-18,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2018 Season/Summer Playoffs,2018-09-07,2018-09-22,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2018 Season/Summer Promotion,2018-05-04,2018-05-08,SEA,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2018 Season/Summer Season,2018-06-21,2018-08-19,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2019 Season/Spring Playoffs,2019-03-30,2019-04-13,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2019 Season/Spring Promotion,2018-11-28,2018-11-30,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2019 Season/Spring Season,2019-01-17,2019-03-24,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2019 Season/Summer Playoffs,2019-08-24,2019-09-15,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2019 Season/Summer Playoffs/Showmatch,2019-09-15,2019-09-15,Vietnam,Vietnam,,Vietnam Championship Series,1,1
VCS/2019 Season/Summer Promotion,2019-04-26,2019-04-28,Vietnam,Vietnam,,Vietnam Championship Series,1,1
VCS/2019 Season/Summer Season,2019-06-20,2019-08-11,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2020 Season/Spring Playoffs,2020-04-10,2020-04-18,Vietnam,Vietnam,Online,Vietnam Championship Series,1,1
